,Deciles,pred_limit,ln_cards_spent
0,5,746.7724130501383,6.618700085666524
1,4,533.8021826830777,6.261604121533937
2,3,431.800866725724,6.0826370061132895
3,2,362.4015011728827,5.863714947229444
4,1,313.2647532649328,5.746679999593567
5,0,258.07810230161965,5.559350786091866
